"var.names","mean","2.5%","97.5%","Rhat","actual.val","mu.psi.yr","mu.psi","r","case","sp"
"mu.psi.yr",0.319,0.254,0.386,1.012,0.5,"0.5","0","6","allall","ms"
"sigma.psi.yr",0.2,0.154,0.259,1.002,0.2,"0.5","0","6","allall","ms"
"mu.p",-1.521,-1.961,-1.231,5.76,-0.5,"0.5","0","6","allall","ms"
"sigma.p.sp",2.266,1.926,2.703,1.001,NA,"0.5","0","6","allall","ms"
"p.yr",-0.482,-0.628,-0.327,1,-0.5,"0.5","0","6","allall","ms"
"sigma.p.site",2.453,2.393,2.52,1.007,1.5,"0.5","0","6","allall","ms"
"per_chage_bci",26.1722582352939,20.4186832405417,32.6948277961612,NA,24.4918662403709,"0.5","0","6","allall","ms"
"mu.psi",-1.083,-1.26,-0.824,2.992,0,"1","0","6","allall","ms"
"sigma.psi.sp",0.934,0.779,1.107,1.016,0.5,"1","0","6","allall","ms"
"mu.psi.yr",0.625,0.55,0.706,1.017,1,"1","0","6","allall","ms"
"sigma.psi.yr",0.266,0.204,0.347,1.066,0.2,"1","0","6","allall","ms"
"mu.p",-1.41,-1.729,-1.102,4.474,-0.5,"1","0","6","allall","ms"
"sigma.p.sp",2.322,1.969,2.757,1.022,NA,"1","0","6","allall","ms"
"p.yr",-0.533,-0.661,-0.391,1.156,-0.5,"1","0","6","allall","ms"
"sigma.p.site",2.389,2.322,2.456,1.018,1.5,"1","0","6","allall","ms"
"per_chage_bci",53.1805251450865,44.9379681267574,63.5998194846521,NA,46.211715726001,"1","0","6","allall","ms"
"mu.psi",-0.947,-1.212,-0.601,3.661,0,"-0.5","0","7","allall","ms"
"sigma.psi.sp",0.965,0.801,1.186,1.322,0.5,"-0.5","0","7","allall","ms"
"mu.psi.yr",-0.365,-0.419,-0.316,1.045,-0.5,"-0.5","0","7","allall","ms"
"sigma.psi.yr",0.11,0.064,0.162,1.039,0.2,"-0.5","0","7","allall","ms"
"mu.p",-1.423,-1.936,-0.879,5.232,-0.5,"-0.5","0","7","allall","ms"
"sigma.p.sp",2.31,1.904,2.833,1.075,NA,"-0.5","0","7","allall","ms"
