"sp","mean_baseline","mean_current","per_change","p.yr","mu.v.yr","r","case","actual.change"
"34",0.503847874720358,0.630715883668904,25.1798241719208,"1","0","8","all",1.04429017785065
"35",0.610507246376812,0.523188405797101,-14.3026706231454,"1","0","8","all",14.4671014447769
"36",0.550504587155963,0.613669724770642,11.4740438296809,"1","0","8","all",-5.08511507140701
"37",0.490277777777778,0.686527777777778,40.028328611898,"1","0","8","all",-6.4381857938174
"38",0.494191419141914,0.621485148514851,25.7579804995325,"1","0","8","all",-19.3559949412269
"39",0.428661551577153,0.74463768115942,73.712262837596,"1","0","8","all",29.6906938501134
"4",0.567745098039216,0.658578431372549,15.9989639095148,"1","0","8","all",-3.49363561546467
"40",0.46,0.59468137254902,29.2785592497869,"1","0","8","all",-17.4908663930402
"41",0.553300970873786,0.708750809061489,28.0949874246944,"1","0","8","all",-2.03765767782476
"42",0.502340425531915,0.607411347517731,20.9162784131018,"1","0","8","all",-12.481077628521
"43",0.519625,0.640958333333333,23.3501723999679,"1","0","8","all",-5.79924769235769
"44",0.536463963963964,0.598851351351351,11.629371510139,"1","0","8","all",-4.61542038589931
"45",0.444444444444444,0.639949494949495,43.9886363636364,"1","0","8","all",-11.3521309567599
"46",0.429318181818182,0.726792929292929,69.2900417622493,"1","0","8","all",3.47511983361588
"47",0.485664739884393,0.660250481695568,35.9477902086805,"1","0","8","all",10.3504698417803
"48",0.410442708333333,0.705442708333333,71.8736120804517,"1","0","8","all",-5.73873237189041
"49",0.538774509803922,0.63343837535014,17.570219790218,"1","0","8","all",5.87189917964735
"5",0.514703891708968,0.678527918781726,31.8287912160163,"1","0","8","all",3.8069437960997
"50",0.464793187347932,0.649878345498783,39.8209705281893,"1","0","8","all",4.27170749110916
"51",0.382244897959184,0.756598639455782,97.935575725218,"1","0","8","all",3.96597321254331
"52",0.523001328021248,0.667211155378486,27.5735107409476,"1","0","8","all",-2.87317265824356
"53",0.506666666666667,0.618833333333333,22.1381578947368,"1","0","8","all",-15.1489593336676
"54",0.501028571428571,0.713333333333333,42.3737834549879,"1","0","8","all",-0.851463263552886
"55",0.581639697950378,0.707292340884574,21.6031751919582,"1","0","8","all",2.42301518967879
"56",0.476406926406926,0.679805194805195,42.6942298955021,"1","0","8","all",-5.26058323664005
"57",0.529979253112033,0.667455048409405,25.9398447184707,"1","0","8","all",-3.20755007737713
"58",0.503410852713178,0.584166666666667,16.041730828457,"1","0","8","all",-15.9647753927083
"59",0.524614197530864,0.598981481481481,14.1756140608913,"1","0","8","all",-5.61575806543974
"6",0.476108108108108,0.641297297297297,34.6957311534968,"1","0","8","all",3.89327280563502
"60",0.583565891472868,0.704501661129568,20.7235843327767,"1","0","8","all",-0.655054511589636
"61",0.55279516749039,0.742350356946733,34.2903123261543,"1","0","8","all",10.169031012608
"62",0.547450980392157,0.68478431372549,25.0859598853868,"1","0","8","all",-4.46989966937793
"63",0.460749063670412,0.631722846441948,37.1077873516501,"1","0","8","all",-1.38304541027928
"64",0.506022408963585,0.637450980392157,25.972875726543,"1","0","8","all",-0.26598582432853
"65",0.603738317757009,0.547710280373832,-9.28018575851394,"1","0","8","all",-20.1210425636488
"66",0.476493710691824,0.731367924528302,53.4895231809932,"1","0","8","all",4.10060867941093
"7",0.612984554060787,0.652810164424514,6.49700063401233,"1","0","8","all",-14.2135401974546
"8",0.484397394136808,0.643127035830619,32.7684755564522,"1","0","8","all",-4.62635318353018
"9",0.452169540229885,0.74492816091954,64.7453210892568,"1","0","8","all",19.1165768264019
"1",0.669354838709677,0.520924731182796,-22.1751004016064,"-0.5","-0.5","9","all",16.2957068724878
"10",0.711033591731266,0.35093023255814,-50.6450557836973,"-0.5","-0.5","9","all",-13.8596089419857
"11",0.660923076923077,0.442051282051282,-33.1160769708256,"-0.5","-0.5","9","all",-6.1555263874928
"12",0.687375886524823,0.533732269503546,-22.3521976888155,"-0.5","-0.5","9","all",6.83986647240987
"13",0.737800925925926,0.405671296296296,-45.0161578765726,"-0.5","-0.5","9","all",-20.5170705612437
"14",0.732936507936508,0.478419312169312,-34.7256812849666,"-0.5","-0.5","9","all",0.00239203343420363
"15",0.630070707070707,0.572616161616162,-9.11874569152093,"-0.5","-0.5","9","all",17.2248078423622
"16",0.643762183235867,0.49635477582846,-22.8978046934141,"-0.5","-0.5","9","all",-1.71429366343191
"17",0.683459383753501,0.50953781512605,-25.4472427713683,"-0.5","-0.5","9","all",-9.22919104470037
"18",0.731952054794521,0.411815068493151,-43.7374257240444,"-0.5","-0.5","9","all",-12.047075656218
"19",0.658324873096447,0.490693739424704,-25.4632842419102,"-0.5","-0.5","9","all",7.51083781740207
"2",0.67609819121447,0.481550387596899,-28.775081215364,"-0.5","-0.5","9","all",6.65375731043377
"20",0.64202380952381,0.509325396825397,-20.6687681562519,"-0.5","-0.5","9","all",-14.9511160254149
"21",0.714436363636364,0.535709090909091,-25.0165419656945,"-0.5","-0.5","9","all",5.41449300008039
"22",0.726944444444444,0.393487654320988,-45.8710143081561,"-0.5","-0.5","9","all",-9.73710468192015
"23",0.64056856187291,0.567335562987737,-11.432499695435,"-0.5","-0.5","9","all",13.4973776410366
"24",0.723031609195402,0.397586206896552,-45.0112274705403,"-0.5","-0.5","9","all",-3.91353068203623
"25",0.687381818181818,0.470072727272727,-31.614029519124,"-0.5","-0.5","9","all",10.2161724326331
"26",0.630761154855643,0.434566929133858,-31.1043608521971,"-0.5","-0.5","9","all",1.82572426052284
"27",0.611188405797101,0.480492753623188,-21.3838565873091,"-0.5","-0.5","9","all",-5.7117763042787
"28",0.6886,0.453111111111111,-34.1982121534837,"-0.5","-0.5","9","all",1.82306188410515
"29",0.661347517730496,0.493640661938534,-25.3583556747096,"-0.5","-0.5","9","all",15.5147367002333
"3",0.703738872403561,0.509594460929772,-27.5875639512003,"-0.5","-0.5","9","all",-4.38431069540042
"30",0.546060606060606,0.619393939393939,13.4295227524972,"-0.5","-0.5","9","all",9.8764876365576
"31",0.819753086419753,0.200864197530864,-75.4969879518072,"-0.5","-0.5","9","all",-18.2827280706687
"32",0.672735042735043,0.501282051282051,-25.4859611231101,"-0.5","-0.5","9","all",5.169679327571
"33",0.728111888111888,0.371328671328671,-49.0011525163273,"-0.5","-0.5","9","all",-5.89290702946106
"34",0.722880658436214,0.406028806584362,-43.8318342252078,"-0.5","-0.5","9","all",-1.46794627605042
"35",0.589756097560976,0.504715447154472,-14.4196305486628,"-0.5","-0.5","9","all",-4.54021882350283
"36",0.560034013605442,0.489013605442177,-12.6814454904342,"-0.5","-0.5","9","all",13.3348804153596
"37",0.692290388548057,0.442535787321063,-36.0765663309012,"-0.5","-0.5","9","all",5.55891002885107
"38",0.749873015873016,0.366190476190476,-51.1663350408535,"-0.5","-0.5","9","all",-25.3201719905316
"39",0.763258088788563,0.470195635816403,-38.3962459457594,"-0.5","-0.5","9","all",-11.5788060611395
"4",0.624634581105169,0.521426024955437,-16.5230295074482,"-0.5","-0.5","9","all",12.5778633386812
"40",0.63354954954955,0.511153153153153,-19.3191513565781,"-0.5","-0.5","9","all",9.65157238636658
"41",0.66411003236246,0.488403451995685,-26.4574500917759,"-0.5","-0.5","9","all",7.8464431669195
"42",0.730955243820975,0.563580494321977,-22.89808451528,"-0.5","-0.5","9","all",4.27980422167934
"43",0.711510416666667,0.446875,-37.1934704633629,"-0.5","-0.5","9","all",-10.4549684480111
"44",0.669981583793739,0.508729281767956,-24.0681693238043,"-0.5","-0.5","9","all",17.4421243989835
"45",0.598775510204082,0.475510204081633,-20.5862304021813,"-0.5","-0.5","9","all",20.9889730248418
"46",0.657614379084967,0.424738562091503,-35.4122148784972,"-0.5","-0.5","9","all",-0.90881662541059
"47",0.725945945945946,0.475105105105105,-34.5536526847026,"-0.5","-0.5","9","all",-1.89353521880681
"48",0.624969696969697,0.458030303030303,-26.7115981380915,"-0.5","-0.5","9","all",-1.37955370790322
"49",0.756079234972678,0.513210382513661,-32.1221429216731,"-0.5","-0.5","9","all",4.85798763724727
"5",0.737176470588235,0.412183006535948,-44.0862503103167,"-0.5","-0.5","9","all",-4.04526784810807
"50",0.592155388471178,0.530426065162907,-10.4245143268295,"-0.5","-0.5","9","all",5.4867416330701
"51",0.7305,0.383416666666667,-47.513118868355,"-0.5","-0.5","9","all",-0.0427544068971413
"52",0.646469534050179,0.485913978494624,-24.8357497297148,"-0.5","-0.5","9","all",1.13043269515721
"53",0.621575757575758,0.446,-28.246879875195,"-0.5","-0.5","9","all",13.0888019259755
"54",0.683298969072165,0.406357388316151,-40.5300744317039,"-0.5","-0.5","9","all",17.508509593197
"55",0.611068376068376,0.47457264957265,-22.3372263794671,"-0.5","-0.5","9","all",12.8810793277363
"56",0.652510548523207,0.47584388185654,-27.0749135115911,"-0.5","-0.5","9","all",2.26412522646646
"57",0.730375939849624,0.476608187134503,-34.7448127559307,"-0.5","-0.5","9","all",-1.62782847666247
"58",0.698581349206349,0.535892857142857,-23.2884104690629,"-0.5","-0.5","9","all",4.48594554252646
"59",0.648307692307692,0.474333333333333,-26.8351526657175,"-0.5","-0.5","9","all",13.5315982451927
"6",0.666178451178451,0.470774410774411,-29.3320866290971,"-0.5","-0.5","9","all",0.872256232483523
"60",0.725914577530176,0.452683379758589,-37.6395799490925,"-0.5","-0.5","9","all",2.86144584084576
"61",0.701477272727273,0.430858585858586,-38.578396961679,"-0.5","-0.5","9","all",-9.99701891097575
"62",0.710985915492958,0.414272300469484,-41.7326994189118,"-0.5","-0.5","9","all",0.612723446601953
"63",0.70410071942446,0.425635491606715,-39.5490616804605,"-0.5","-0.5","9","all",-4.30244409674031
"64",0.62271186440678,0.509463276836158,-18.1863545636001,"-0.5","-0.5","9","all",10.4365609169113
"65",0.69352380952381,0.438933333333333,-36.7096951386982,"-0.5","-0.5","9","all",-4.28402107841489
"66",0.594222222222222,0.513166666666667,-13.6406133133882,"-0.5","-0.5","9","all",3.33257033245139
"7",0.765693581780538,0.53583850931677,-30.0191980098964,"-0.5","-0.5","9","all",-11.3218194675323
"8",0.743290960451977,0.418305084745763,-43.7225653206651,"-0.5","-0.5","9","all",-10.6809613247425
"9",0.647657657657658,0.486981981981982,-24.8087355682292,"-0.5","-0.5","9","all",-17.510527180225
"1",0.645842490842491,0.557930402930403,-13.6120012477668,"-0.5","0","9","all",7.31705146752695
"10",0.638964646464646,0.477474747474747,-25.2736829624946,"-0.5","0","9","all",7.00048363608386
"11",0.517660256410256,0.563685897435897,8.8910903349638,"-0.5","0","9","all",-0.82366150083465
"12",0.6344536271809,0.549788797061524,-13.344526139061,"-0.5","0","9","all",-3.4278285209588
"13",0.637816091954023,0.47816091954023,-25.0315372139124,"-0.5","0","9","all",-4.67930479317861
"14",0.62034045922407,0.566547901821061,-8.67145719792212,"-0.5","0","9","all",3.07495120279696
"15",0.635821917808219,0.517888127853881,-18.5482423067256,"-0.5","0","9","all",-1.34630336281534
"16",0.636807760141094,0.488395061728395,-23.3057301908217,"-0.5","0","9","all",-8.22194265523539
"17",0.624558011049724,0.5752394106814,-7.89656036681558,"-0.5","0","9","all",0.814501566405534
"18",0.648561928512053,0.560016625103907,-13.6525595344903,"-0.5","0","9","all",-5.37074712887977
"19",0.630702614379085,0.54171568627451,-14.1091738127931,"-0.5","0","9","all",4.70590286481614
"2",0.68718253968254,0.45047619047619,-34.445920194029,"-0.5","0","9","all",0.0282619002916733
"20",0.671221719457014,0.551975867269985,-17.765493685677,"-0.5","0","9","all",7.50383483849059
"21",0.644890453834116,0.659671361502347,2.2920028634869,"-0.5","0","9","all",9.91071931060945
"22",0.552853717026379,0.584220623501199,5.67363581157284,"-0.5","0","9","all",17.9159726495029
"23",0.548857808857809,0.572808857808858,4.36379852204196,"-0.5","0","9","all",-1.55531636824296
"24",0.695220657276995,0.492,-29.2311016869032,"-0.5","0","9","all",-14.2344798075341
"25",0.660790960451977,0.548333333333333,-17.0186388508892,"-0.5","0","9","all",-3.15753576285544
"26",0.669078341013825,0.550122887864823,-17.779002226967,"-0.5","0","9","all",-10.1154402887061
"27",0.648117283950617,0.401141975308642,-38.106576503643,"-0.5","0","9","all",-10.9901764898489
"28",0.660159574468085,0.584414893617021,-11.4736926919668,"-0.5","0","9","all",5.02408186572115
"29",0.627267973856209,0.484483660130719,-22.7628891760097,"-0.5","0","9","all",1.2784681120697
"3",0.628010139416983,0.560076045627376,-10.8173562058527,"-0.5","0","9","all",3.03879584265778
"31",0.580666666666667,0.770571428571429,32.7046088240118,"-0.5","0","9","all",-2.02746679029176
"32",0.634124031007752,0.577077519379845,-8.99611256448497,"-0.5","0","9","all",13.3335157670332
"33",0.591596806387226,0.57001996007984,-3.64722156617969,"-0.5","0","9","all",9.09397930205105
"34",0.5552016985138,0.590955414012739,6.43977055449331,"-0.5","0","9","all",16.3675910164082
"35",0.53047619047619,0.572857142857143,7.98922800718133,"-0.5","0","9","all",-7.08489014957905
"36",0.644631268436578,0.563849557522124,-12.5314602114126,"-0.5","0","9","all",5.67759557599737
"37",0.60874251497006,0.512355289421158,-15.8338251688635,"-0.5","0","9","all",4.84484393076974
"38",0.648822055137845,0.492005012531328,-24.169499381953,"-0.5","0","9","all",-1.51094477823379
"39",0.623787878787879,0.51044289044289,-18.1704377720895,"-0.5","0","9","all",8.55905169948853
"4",0.569003267973856,0.578316993464052,1.63684920885621,"-0.5","0","9","all",0.179457475343198
"40",0.662673434856176,0.478730964467005,-27.7576345623532,"-0.5","0","9","all",-5.83619215769349
"41",0.651804949053857,0.633901018922853,-2.74682328770182,"-0.5","0","9","all",6.64472514421114
"42",0.705633575464084,0.487473769168684,-30.9168687377042,"-0.5","0","9","all",-14.1126808084019
"43",0.706583333333333,0.529416666666667,-25.0737115225852,"-0.5","0","9","all",3.8733991340814
