"var.names","mean","2.5%","97.5%","Rhat","actual.val","p.yr","mu.v.yr","r","case","sp"
"mu.p",-2.255,-2.393,-2.137,1.065,-0.5,"-0.5","-0.5","2","all","ms"
"sigma.p.sp",0.33,0.266,0.404,1.05,NA,"-0.5","-0.5","2","all","ms"
"p.yr",-0.959,-1.08,-0.84,1.015,-0.5,"-0.5","-0.5","2","all","ms"
"sigma.p.site",1.603,1.543,1.654,1.003,1.5,"-0.5","-0.5","2","all","ms"
"per_chage_bci",10.9579588720039,5.6740577363767,15.9895495817937,NA,0,"-0.5","-0.5","2","all","ms"
"mu.psi",0.433,0.294,0.579,1.614,0,"-0.5","0","2","all","ms"
"sigma.psi.sp",0.686,0.567,0.836,1.018,0.5,"-0.5","0","2","all","ms"
"mu.psi.yr",-0.055,-0.16,0.051,1.006,0,"-0.5","0","2","all","ms"
"sigma.psi.yr",0.262,0.153,0.376,1.066,0.2,"-0.5","0","2","all","ms"
"mu.p",-2.18,-2.294,-2.025,1.106,-0.5,"-0.5","0","2","all","ms"
"sigma.p.sp",0.323,0.26,0.392,1.016,NA,"-0.5","0","2","all","ms"
"p.yr",-0.329,-0.445,-0.216,1.099,-0.5,"-0.5","0","2","all","ms"
"sigma.p.site",1.508,1.459,1.552,1.01,1.5,"-0.5","0","2","all","ms"
"per_chage_bci",-2.19865447212555,-6.30646794143804,2.05243644092726,NA,0,"-0.5","0","2","all","ms"
"mu.psi",0.585,0.428,0.734,1.228,0,"-1","-0.5","2","all","ms"
"sigma.psi.sp",0.649,0.535,0.786,1.009,0.5,"-1","-0.5","2","all","ms"
"mu.psi.yr",0.13,-0.009,0.274,1.038,0,"-1","-0.5","2","all","ms"
"sigma.psi.yr",0.32,0.202,0.458,1.209,0.2,"-1","-0.5","2","all","ms"
"mu.p",-2.176,-2.272,-2.06,1.039,-0.5,"-1","-0.5","2","all","ms"
"sigma.p.sp",0.394,0.321,0.459,1.071,NA,"-1","-0.5","2","all","ms"
"p.yr",-1.22,-1.376,-1.106,1.099,-1,"-1","-0.5","2","all","ms"
"sigma.p.site",1.573,1.515,1.632,1.012,1.5,"-1","-0.5","2","all","ms"
"per_chage_bci",4.53473293009313,-0.324851375868624,10.0789217308445,NA,0,"-1","-0.5","2","all","ms"
"mu.psi",0.445,0.272,0.578,1.446,0,"-1","0","2","all","ms"
"sigma.psi.sp",0.606,0.496,0.745,1.018,0.5,"-1","0","2","all","ms"
"mu.psi.yr",-0.091,-0.231,0.057,1.023,0,"-1","0","2","all","ms"
"sigma.psi.yr",0.31,0.212,0.433,1.055,0.2,"-1","0","2","all","ms"
"mu.p",-2.12,-2.239,-2.003,1.015,-0.5,"-1","0","2","all","ms"
"sigma.p.sp",0.26,0.209,0.319,1.043,NA,"-1","0","2","all","ms"
"p.yr",-0.694,-0.806,-0.576,1.042,-1,"-1","0","2","all","ms"
"sigma.p.site",1.498,1.446,1.556,0.997,1.5,"-1","0","2","all","ms"
"per_chage_bci",-3.59047409724974,-8.96854915779105,2.19014189529522,NA,0,"-1","0","2","all","ms"
"mu.psi",0.457,0.311,0.586,1.215,0,"0","-0.5","2","all","ms"
