"var.names","mean","2.5%","97.5%","Rhat","actual.val","mu.psi.yr","mu.v.yr","r","case","sp"
"per_chage_bci",7.01526644149255,1.09730166449241,13.2109979566401,NA,0,"0","-0.5","10","all","ms"
"mu.psi",0.448,0.307,0.573,1.392,0,"0","0","10","all","ms"
"sigma.psi.sp",0.555,0.435,0.69,0.998,0.5,"0","0","10","all","ms"
"mu.psi.yr",-0.01,-0.126,0.109,1.075,0,"0","0","10","all","ms"
"sigma.psi.yr",0.251,0.17,0.34,1.047,0.2,"0","0","10","all","ms"
"mu.p",-2.245,-2.347,-2.129,1.128,-0.5,"0","0","10","all","ms"
"sigma.p.sp",0.342,0.279,0.428,1,NA,"0","0","10","all","ms"
"p.yr",-0.256,-0.365,-0.168,0.996,-0.5,"0","0","10","all","ms"
"sigma.p.site",1.445,1.402,1.49,1.026,1.5,"0","0","10","all","ms"
"per_chage_bci",-0.405068772652624,-4.8040846596119,4.27374191216343,NA,0,"0","0","10","all","ms"
"mu.psi",0.641,0.528,0.803,1.095,0,"0.5","-0.5","10","all","ms"
"sigma.psi.sp",0.581,0.475,0.723,0.999,0.5,"0.5","-0.5","10","all","ms"
"mu.psi.yr",1.027,0.833,1.242,1.027,0.5,"0.5","-0.5","10","all","ms"
"sigma.psi.yr",0.494,0.31,0.686,1.067,0.2,"0.5","-0.5","10","all","ms"
"mu.p",-2.211,-2.325,-2.107,1.022,-0.5,"0.5","-0.5","10","all","ms"
"sigma.p.sp",0.364,0.293,0.445,1.015,NA,"0.5","-0.5","10","all","ms"
"p.yr",-0.869,-0.973,-0.755,1.023,-0.5,"0.5","-0.5","10","all","ms"
"sigma.p.site",1.609,1.56,1.663,1.012,1.5,"0.5","-0.5","10","all","ms"
"per_chage_bci",28.3826544328517,23.1233024821499,33.2178061525923,NA,24.4918662403709,"0.5","-0.5","10","all","ms"
"mu.psi",0.521,0.385,0.63,1.25,0,"0.5","0","10","all","ms"
"sigma.psi.sp",0.542,0.442,0.668,1,0.5,"0.5","0","10","all","ms"
"mu.psi.yr",0.719,0.594,0.852,1.002,0.5,"0.5","0","10","all","ms"
"sigma.psi.yr",0.315,0.198,0.438,1.003,0.2,"0.5","0","10","all","ms"
"mu.p",-2.09,-2.207,-1.993,1.042,-0.5,"0.5","0","10","all","ms"
"sigma.p.sp",0.345,0.28,0.418,0.999,NA,"0.5","0","10","all","ms"
"p.yr",-0.294,-0.396,-0.193,1.018,-0.5,"0.5","0","10","all","ms"
"sigma.p.site",1.516,1.469,1.564,1.003,1.5,"0.5","0","10","all","ms"
"per_chage_bci",23.6456654437651,18.920161308881,28.2582161647383,NA,24.4918662403709,"0.5","0","10","all","ms"
"mu.psi",0.441,0.29,0.638,1.797,0,"1","-0.5","10","all","ms"
"sigma.psi.sp",0.56,0.457,0.696,1.011,0.5,"1","-0.5","10","all","ms"
"mu.psi.yr",2.007,1.732,2.312,1.008,1,"1","-0.5","10","all","ms"
"sigma.psi.yr",0.671,0.464,0.924,1.033,0.2,"1","-0.5","10","all","ms"
"mu.p",-2.215,-2.355,-2.092,1.073,-0.5,"1","-0.5","10","all","ms"
"sigma.p.sp",0.371,0.303,0.451,1.013,NA,"1","-0.5","10","all","ms"
"p.yr",-0.782,-0.893,-0.673,1.051,-0.5,"1","-0.5","10","all","ms"
"sigma.p.site",1.6,1.55,1.651,1.006,1.5,"1","-0.5","10","all","ms"
"per_chage_bci",51.2703189087852,43.4595757749976,60.354528053111,NA,46.211715726001,"1","-0.5","10","all","ms"
"mu.psi",0.567,0.407,0.727,1.125,0,"1","0","10","all","ms"
"sigma.psi.sp",0.607,0.497,0.732,1.005,0.5,"1","0","10","all","ms"
"mu.psi.yr",1.248,1.076,1.42,1.031,1,"1","0","10","all","ms"
"sigma.psi.yr",0.33,0.104,0.521,1.043,0.2,"1","0","10","all","ms"
"mu.p",-2.16,-2.302,-2.057,1.043,-0.5,"1","0","10","all","ms"
"sigma.p.sp",0.37,0.309,0.448,0.998,NA,"1","0","10","all","ms"
"p.yr",-0.357,-0.451,-0.263,1.052,-0.5,"1","0","10","all","ms"
"sigma.p.site",1.563,1.509,1.611,1.005,1.5,"1","0","10","all","ms"
"per_chage_bci",34.7924902069975,29.2611627030598,42.4261875010067,NA,46.211715726001,"1","0","10","all","ms"
"mu.psi",0.551,0.425,0.692,1.063,0,"-0.5","-0.5","2","all","ms"
"sigma.psi.sp",0.513,0.407,0.669,1.005,0.5,"-0.5","-0.5","2","all","ms"
"mu.psi.yr",-0.352,-0.484,-0.2,1.141,-0.5,"-0.5","-0.5","2","all","ms"
"sigma.psi.yr",0.293,0.175,0.396,1.036,0.2,"-0.5","-0.5","2","all","ms"
"mu.p",-2.266,-2.382,-2.177,1.028,-0.5,"-0.5","-0.5","2","all","ms"
"sigma.p.sp",0.331,0.265,0.403,1.041,NA,"-0.5","-0.5","2","all","ms"
"p.yr",-0.923,-1.05,-0.802,1.083,-0.5,"-0.5","-0.5","2","all","ms"
"sigma.p.site",1.559,1.506,1.612,1.037,1.5,"-0.5","-0.5","2","all","ms"
"per_chage_bci",-13.3312530923792,-18.2609524764454,-8.03593162900765,NA,-24.4918662403709,"-0.5","-0.5","2","all","ms"
"mu.psi",0.46,0.303,0.607,1.522,0,"-0.5","0","2","all","ms"
"sigma.psi.sp",0.696,0.567,0.849,1.007,0.5,"-0.5","0","2","all","ms"
"mu.psi.yr",-0.593,-0.689,-0.476,1.06,-0.5,"-0.5","0","2","all","ms"
"sigma.psi.yr",0.26,0.169,0.364,1.03,0.2,"-0.5","0","2","all","ms"
"mu.p",-2.189,-2.299,-2.104,1.055,-0.5,"-0.5","0","2","all","ms"
"sigma.p.sp",0.32,0.263,0.391,1.011,NA,"-0.5","0","2","all","ms"
"p.yr",-0.347,-0.472,-0.226,1.056,-0.5,"-0.5","0","2","all","ms"
"sigma.p.site",1.524,1.471,1.577,1.003,1.5,"-0.5","0","2","all","ms"
"per_chage_bci",-23.835333910419,-28.9598089465527,-19.0954725346819,NA,-24.4918662403709,"-0.5","0","2","all","ms"
"mu.psi",0.522,0.388,0.665,1.025,0,"-1","-0.5","2","all","ms"
